snr_db,window,stat,cond,n_seeds,auc_mean,ci_lo,ci_hi,seed0,seed1,seed2,seed3,seed4
5.0,1,crcfail_d,DS1000,5,0.7657291666666667,0.6755239048662846,0.8559344284670488,0.7197916666666667,0.6770833333333334,0.8614583333333333,0.8098958333333334,0.7604166666666666
5.0,1,crcfail_d,CDLA,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,1,crcfail_d,CDLB,5,0.5002083333333334,0.4998541211559072,0.5005625455107595,0.5005208333333333,0.5005208333333333,0.5,0.5,0.5
5.0,1,crcfail_d,CDLD,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,1,crcfail_d,CDLE,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,1,crcfail_d,S2,5,0.8669791666666666,0.7554083281818216,0.9785500051515117,0.7942708333333334,0.7765625,0.9927083333333333,0.9197916666666667,0.8515625
5.0,1,crcfail_d,V30,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,1,crcfail_d,V90,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,1,crcfail_d,V150,5,0.5691666666666667,0.5676919637739769,0.5706413695593565,0.5703125,0.5692708333333333,0.5682291666666667,0.5703125,0.5677083333333334
5.0,1,crcfail_d,V250,5,0.6862499999999999,0.6771892737338846,0.6953107262661152,0.6880208333333333,0.69375,0.6916666666666667,0.6760416666666667,0.6817708333333333
5.0,1,crcfail_d,V400,5,0.7846875000000001,0.7727664489552796,0.7966085510447206,0.7921875,0.775,0.775,0.7854166666666667,0.7958333333333333
5.0,1,cf,DS200,5,0.5089409722222223,0.5014448506911214,0.5164370937533233,0.5094292534722222,0.5085069444444444,0.5100873480902778,0.5168060980902778,0.4998752170138889
5.0,1,cf,DS300,5,0.516300021701389,0.5090862348868973,0.5235138085158807,0.5253032769097222,0.5172026909722223,0.5166623263888889,0.5115473090277778,0.5107845052083333
5.0,1,cf,DS600,5,0.5357328559027779,0.5225125209463682,0.5489531908591875,0.5461349826388889,0.528447265625,0.5273958333333333,0.5281195746527778,0.5485666232638889
5.0,1,cf,DS1000,5,0.5393038194444445,0.5308349629375666,0.5477726759513224,0.5437250434027778,0.5483648003472222,0.5313145616319445,0.5382183159722222,0.5348963758680556
5.0,1,cf,CDLA,5,0.5865757378472222,0.5774062225417297,0.5957452531527146,0.5774001736111111,0.5830208333333333,0.5841634114583333,0.5947970920138889,0.5934971788194444
5.0,1,cf,CDLB,5,0.49681933593749994,0.4798132295705158,0.5138254423044841,0.49263237847222224,0.4817301432291667,0.4878244357638889,0.5144618055555555,0.5074479166666667
5.0,1,cf,CDLD,5,0.9247634548611112,0.9093396127494714,0.940187296972751,0.9189518229166667,0.9136664496527778,0.9148079427083333,0.9386100260416667,0.9377810329861112
5.0,1,cf,CDLE,5,0.9136089409722221,0.8985836589728531,0.9286342229715912,0.9081141493055556,0.9005902777777778,0.9063194444444445,0.9264149305555556,0.9266059027777778
5.0,1,cf,S2,5,0.5660100911458334,0.5500286624874411,0.5819915198042258,0.5725499131944445,0.5610101996527778,0.5514756944444444,0.5847384982638889,0.5602761501736111
5.0,1,cf,V30,5,0.5127662760416667,0.49605579703184016,0.5294767550514933,0.5139366319444445,0.5244216579861111,0.4911881510416667,0.5235980902777778,0.5106868489583334
5.0,1,cf,V90,5,0.5008118489583333,0.48514210406869684,0.5164815938479698,0.5072276475694445,0.49478081597222223,0.4813986545138889,0.5112217881944444,0.5094303385416666
5.0,1,cf,V150,5,0.49646592881944446,0.4800883432520501,0.5128435143868388,0.5108040364583334,0.5043977864583333,0.47683268229166664,0.4995334201388889,0.49076171875
5.0,1,cf,V250,5,0.4908207465277778,0.47652181585369696,0.5051196772018586,0.503603515625,0.473447265625,0.48753255208333335,0.49817925347222225,0.4913411458333333
5.0,1,cf,V400,5,0.4880998263888888,0.4738622246787493,0.5023374280990284,0.5027354600694445,0.4793798828125,0.47699055989583333,0.48366861979166664,0.497724609375
5.0,1,ct,DS200,5,0.5039521484374999,0.4957696579220367,0.5121346389529631,0.49996636284722223,0.5068950737847222,0.4950764973958333,0.5121668836805555,0.5056559244791666
5.0,1,ct,DS300,5,0.5049090711805556,0.4875068387836383,0.5223113035774729,0.5011897786458334,0.5272547743055556,0.4884754774305556,0.5040104166666667,0.5036149088541667
5.0,1,ct,DS600,5,0.5049333767361112,0.48436685456307155,0.5254998989091507,0.4791981336805556,0.5234673394097222,0.5022005208333333,0.5057291666666667,0.5140717230902778
5.0,1,ct,DS1000,5,0.5094044053819445,0.4859544452482618,0.5328543655156273,0.5064577907986111,0.5158355034722222,0.4850260416666667,0.5030571831597223,0.5366455078125
5.0,1,ct,CDLA,5,0.5069544270833333,0.4880735833996812,0.5258352707669853,0.5163991970486111,0.5062657335069445,0.49149034288194443,0.4933734809027778,0.5272433810763889
5.0,1,ct,CDLB,5,0.507009006076389,0.48891397630993605,0.5251040358428419,0.4987158203125,0.5141097005208334,0.485361328125,0.5190842013888889,0.5177739800347222
5.0,1,ct,CDLD,5,0.5017061631944444,0.4912227715910242,0.5121895547978645,0.4973958333333333,0.5138932291666667,0.49130967881944443,0.5011257595486112,0.5048063151041666
5.0,1,ct,CDLE,5,0.5051018880208333,0.49051374260327174,0.5196900334383949,0.4971652560763889,0.4945518663194444,0.5054286024305555,0.5038655598958334,0.5244981553819444
5.0,1,ct,S2,5,0.4991689453125,0.48287348479651876,0.5154644058284812,0.49795518663194444,0.5147585720486111,0.4850444878472222,0.48797743055555554,0.5101090494791667
5.0,1,ct,V30,5,0.49037413194444446,0.46460740033480974,0.5161408635540792,0.49176052517361113,0.5165945095486111,0.45875596788194445,0.4888189019097222,0.4959407552083333
5.0,1,ct,V90,5,0.5235531684027778,0.49925667339316404,0.5478496634123915,0.5063113064236111,0.5356043836805555,0.5197808159722223,0.5052897135416666,0.5507796223958333
