cond,snr_db,receiver,mode,slot,rolling_bler,ci_lo,ci_hi,n_seeds
S2,3.0,AINR,gated,740,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,750,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,760,0.42000000000000004,-0.23749596761932623,1.0774959676193263,5
S2,3.0,AINR,gated,770,0.42800000000000005,-0.22090458219139186,1.0769045821913918,5
S2,3.0,AINR,gated,780,0.42400000000000004,-0.22959192585844312,1.0775919258584432,5
S2,3.0,AINR,gated,790,0.42000000000000004,-0.23843323960992613,1.078433239609926,5
S2,3.0,AINR,gated,800,0.41200000000000003,-0.2551792388452868,1.079179238845287,5
S2,3.0,AINR,gated,810,0.42000000000000004,-0.23773041083149038,1.0777304108314905,5
S2,3.0,AINR,gated,820,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,830,0.42800000000000005,-0.220666949128825,1.0766669491288252,5
S2,3.0,AINR,gated,840,0.42800000000000005,-0.220666949128825,1.0766669491288252,5
